group,player,p_ex,p_ex_id
2,1,2,1
2,2,1,2
2,3,5,3
2,4,10,4
3,1,1,5
3,2,10,6
3,3,2,7
3,4,8,8
4,1,2,9
4,2,2,10
4,3,4,11
4,4,4,12
5,1,10,13
5,2,2,14
5,3,10,15
5,4,2,16
6,1,7,17
6,2,10,18
6,3,5,19
6,4,7,20
7,1,1,21
7,2,10,22
7,3,10,23
7,4,0,24
8,1,7,25
8,2,5,26
8,3,7,27
8,4,1,28
9,1,8,29
9,2,0,30
9,3,3,31
9,4,4,32
10,1,0,33
10,2,2,34
10,3,0,35
10,4,2,36
11,1,10,37
11,2,10,38
11,3,4,39
11,4,0,40
12,1,4,41
12,2,4,42
12,3,10,43
12,4,5,44
13,1,10,45
13,2,10,46
13,3,4,47
13,4,3,48
14,1,4,49
14,2,2,50
14,3,2,51
14,4,6,52
15,1,6,53
15,2,10,54
15,3,8,55
15,4,5,56
16,1,5,57
16,2,9,58
16,3,1,59
16,4,6,60
17,1,2,61
17,2,3,62
17,3,2,63
17,4,1,64
18,1,3,65
18,2,0,66
18,3,0,67
18,4,3,68
19,1,2,69
19,2,0,70
19,3,4,71
19,4,3,72
20,1,2,73
20,2,2,74
20,3,2,75
20,4,0,76
21,1,4,77
21,2,10,78
21,3,6,79
21,4,3,80
